Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
93200.00,0.01,0,0,406.7,1965.9879,4.834
93400.00,0.006,0,0,372.292,1807.1053,4.854
93600.00,-0.004,0,0,369.97,1796.5743,4.856
93800.00,0.006,0,0,312.004,1528.1956,4.898
94000.00,-0.004,0,0,404.846,1957.0256,4.834
94200.00,-0.003,0,0,404.796,1957.5934,4.836
94400.00,0,0,0,566.389,2672.2231,4.718
94600.00,-0.007,0,0,404.496,1954.5245,4.832
94800.00,0.019,0,0,404.31,1953.6259,4.832
95000.00,0.021,0,0,403.891,1951.6012,4.832
95200.00,0.002,0,0,403.817,1951.2435,4.832
95400.00,0,0,0,407.774,1970.3638,4.832
95600.00,0.012,0,0,404.281,1954.2944,4.834
95800.00,-0.01,0,0,404.947,1957.5138,4.834
96000.00,0.004,0,0,404.898,1957.277,4.834
96200.00,0.021,0,0,403.837,1950.5327,4.83
96400.00,0.007,0,0,564.634,2661.6846,4.714
96600.00,0.021,0,0,453.478,2176.6946,4.8
96800.00,0.002,0,0,409.123,1975.2458,4.828
97000.00,0.002,0,0,408.062,1970.1234,4.828
97200.00,-0.003,0,0,404.429,1955.0098,4.834
97400.00,-0.011,0,0,404.528,1955.4885,4.834
97600.00,-0.001,0,0,404.927,1956.6072,4.832
97800.00,0,0,0,404.384,1954.7924,4.834
98000.00,0.019,0,0,404.175,1954.5902,4.836
98200.00,0.003,0,0,404.458,1954.3411,4.832
98400.00,-0.004,0,0,608.509,2851.4729,4.686
98600.00,0.001,0,0,404.241,1953.2924,4.832
98800.00,-0.009,0,0,403.97,1952.791,4.834
99000.00,0,0,0,357.827,1741.1863,4.866
99200.00,0.007,0,0,362.109,1760.574,4.862
99400.00,-0.002,0,0,311.869,1527.5342,4.898
99600.00,0.024,0,0,364.207,1771.5028,4.864
99800.00,0.001,0,0,311.943,1528.5208,4.9
